fName,gName
OTARIIDAE,Phocarctos
TRICHECHIDAE,Trichechus
DUGONGIDAE,Hydrodamalis
DELPHINIDAE,Cephalorhynchus
MUSTELIDAE,Gulo
MUSTELIDAE,Martes
MUSTELIDAE,Melogale
MUSTELIDAE,Mustela
MUSTELIDAE,Meles
MUSTELIDAE,Vormela
MUSTELIDAE,Neovison
MUSTELIDAE,Mellivora
MUSTELIDAE,Galictis
MUSTELIDAE,Eira
MUSTELIDAE,Ictonyx
MUSTELIDAE,Lyncodon
MUSTELIDAE,Poecilogale
MUSTELIDAE,Taxidea
OTARIIDAE,Arctocephalus
OTARIIDAE,Callorhinus
PHOCIDAE,Cystophora
PHOCIDAE,Erignathus
OTARIIDAE,Eumetopias
PHOCIDAE,Halichoerus
PHOCIDAE,Hydrurga
PHOCIDAE,Leptonychotes
PHOCIDAE,Lobodon
PHOCIDAE,Mirounga
PHOCIDAE,Neomonachus
OTARIIDAE,Neophoca
ODOBENIDAE,Odobenus
PHOCIDAE,Ommatophoca
PHOCIDAE,Phoca
OTARIIDAE,Zalophus
PHOCIDAE,Pusa
PHOCIDAE,Histriophoca
PHOCIDAE,Pagophilus
BALAENIDAE,Balaena
BALAENOPTERIDAE,Balaenoptera
ZIPHIIDAE,Berardius
NEOBALAENIDAE,Caperea
MONODONTIDAE,Delphinapterus
ESCHRICHTIIDAE,Eschrichtius
BALAENIDAE,Eubalaena
DELPHINIDAE,Feresa
DELPHINIDAE,Globicephala
DELPHINIDAE,Grampus
ZIPHIIDAE,Hyperoodon
INIIDAE,Inia
DELPHINIDAE,Lagenodelphis
DELPHINIDAE,Lagenorhynchus
DELPHINIDAE,Lissodelphis
BALAENOPTERIDAE,Megaptera
ZIPHIIDAE,Mesoplodon
MONODONTIDAE,Monodon
DELPHINIDAE,Orcinus
DELPHINIDAE,Peponocephala
PHOCOENIDAE,Phocoena
PHOCOENIDAE,Phocoenoides
DELPHINIDAE,Stenella
ZIPHIIDAE,Tasmacetus
ZIPHIIDAE,Ziphius
ZIPHIIDAE,Indopacetus
DELPHINIDAE,Tursiops
PHOCOENIDAE,Neophocaena
DELPHINIDAE,Sotalia
OTARIIDAE,Otaria
MUSTELIDAE,Arctonyx
DELPHINIDAE,Sousa
MUSTELIDAE,Lontra
PHOCIDAE,Monachus
DELPHINIDAE,Orcaella
DELPHINIDAE,Pseudorca
DUGONGIDAE,Dugong
PHYSETERIDAE,Physeter
MUSTELIDAE,Aonyx
MUSTELIDAE,Enhydra
MUSTELIDAE,Lutra
MUSTELIDAE,Hydrictis
MUSTELIDAE,Lutrogale
MUSTELIDAE,Pteronura
DELPHINIDAE,Steno
